,country,date,new_cases,cumulative_cases
132,Belarus,2023-01-31,0,67594516
133,Belgium,2020-01-31,0,0
134,Belgium,2020-07-31,69590,6739302
135,Belgium,2021-01-31,639665,69196783
136,Belgium,2021-07-31,410049,172319596
137,Belgium,2022-01-31,2044945,298835315
138,Belgium,2022-07-31,1260583,718788978
139,Belgium,2023-01-31,141375,305640837
140,Belize,2020-01-31,0,0
141,Belize,2020-07-31,48,2751
142,Belize,2021-01-31,11829,906614
143,Belize,2021-07-31,2237,2304788
144,Belize,2022-01-31,36373,4821211
145,Belize,2022-07-31,16624,10695088
146,Belize,2023-01-31,1773,4637960
147,Benin,2020-01-31,0,0
148,Benin,2020-07-31,1805,69641
149,Benin,2021-01-31,1981,498348
150,Benin,2021-07-31,4608,1314757
151,Benin,2022-01-31,18104,4025507
152,Benin,2022-07-31,818,4851004
153,Benin,2023-01-31,466,1873528
154,Bermuda,2020-01-31,0,0
155,Bermuda,2020-07-31,156,14916
156,Bermuda,2021-01-31,535,56572
157,Bermuda,2021-07-31,1862,330203
158,Bermuda,2022-01-31,7999,986236
159,Bermuda,2022-07-31,6641,2490320
160,Bermuda,2023-01-31,1027,1211844
161,Bhutan,2020-01-31,0,0
162,Bhutan,2020-07-31,102,5411
163,Bhutan,2021-01-31,757,73089
164,Bhutan,2021-07-31,1656,249256
165,Bhutan,2022-01-31,2376,502057
166,Bhutan,2022-07-31,55639,7779731
167,Bhutan,2023-01-31,1565,4168819
168,Bolivia (Plurinational State of),2020-01-31,0,0
169,Bolivia (Plurinational State of),2020-07-31,73534,2316910
170,Bolivia (Plurinational State of),2021-01-31,139858,25658441
171,Bolivia (Plurinational State of),2021-07-31,258566,59756590
172,Bolivia (Plurinational State of),2022-01-31,378239,101085596
173,Bolivia (Plurinational State of),2022-07-31,181826,165065745
174,Bolivia (Plurinational State of),2023-01-31,76504,74336578
175,Bonaire,2020-01-31,0,0
176,Bonaire,2020-07-31,5,254
177,Bonaire,2021-01-31,357,22920
178,Bonaire,2021-07-31,1316,226549
179,Bonaire,2022-01-31,4648,501016
180,Bonaire,2022-07-31,2742,1438283
181,Bonaire,2023-01-31,372,632010
182,Bosnia and Herzegovina,2020-01-31,0,0
183,Bosnia and Herzegovina,2020-07-31,11444,433059
184,Bosnia and Herzegovina,2021-01-31,110447,11138087
185,Bosnia and Herzegovina,2021-07-31,83764,32440960
186,Bosnia and Herzegovina,2022-01-31,140996,47246918
187,Bosnia and Herzegovina,2022-07-31,39091,67889307
188,Bosnia and Herzegovina,2023-01-31,13054,26846922
189,Botswana,2020-01-31,0,0
190,Botswana,2020-07-31,804,18288
191,Botswana,2021-01-31,20819,1464390
192,Botswana,2021-07-31,93597,9546838
193,Botswana,2022-01-31,137816,34734374
194,Botswana,2022-07-31,72688,55222942
195,Botswana,2023-01-31,585,22170858
196,Brazil,2020-01-31,0,0
197,Brazil,2020-07-31,2552265,94536812
198,Brazil,2021-01-31,6566248,1039225507
199,Brazil,2021-07-31,10720856,2639541405
200,Brazil,2022-01-31,5375253,3996857916
201,Brazil,2022-07-31,8576076,5503178036
202,Brazil,2023-01-31,908319,2337805346
203,British Virgin Islands,2020-01-31,0,0
204,British Virgin Islands,2020-07-31,8,839
205,British Virgin Islands,2021-01-31,133,12957
206,British Virgin Islands,2021-07-31,2359,77742
207,British Virgin Islands,2022-01-31,3375,567797
208,British Virgin Islands,2022-07-31,1256,1170299
209,British Virgin Islands,2023-01-31,174,491422
210,Brunei Darussalam,2020-01-31,0,0
211,Brunei Darussalam,2020-07-31,141,18608
212,Brunei Darussalam,2021-01-31,39,27835
213,Brunei Darussalam,2021-07-31,156,41590
214,Brunei Darussalam,2022-01-31,16077,1880642
215,Brunei Darussalam,2022-07-31,189747,23272686
216,Brunei Darussalam,2023-01-31,23505,15181634
217,Bulgaria,2020-01-31,0,0
218,Bulgaria,2020-07-31,11420,444821
219,Bulgaria,2021-01-31,207198,16984182
220,Bulgaria,2021-07-31,206254,65250485
221,Bulgaria,2022-01-31,516942,112314274
222,Bulgaria,2022-07-31,264874,205847019
223,Bulgaria,2023-01-31,56942,84387351
224,Burkina Faso,2020-01-31,0,0
225,Burkina Faso,2020-07-31,1143,100417
226,Burkina Faso,2021-01-31,9539,662858
227,Burkina Faso,2021-07-31,2898,2337708
228,Burkina Faso,2022-01-31,7069,2895955
229,Burkina Faso,2022-07-31,479,3783643
230,Burkina Faso,2023-01-31,503,1451756
231,Burundi,2020-01-31,0,0
232,Burundi,2020-07-31,387,13233
233,Burundi,2021-01-31,1248,123080
234,Burundi,2021-07-31,5737,711587
235,Burundi,2022-01-31,30060,3832361
236,Burundi,2022-07-31,8719,7330836
237,Burundi,2023-01-31,4074,3341749
238,Cabo Verde,2020-01-31,0,0
239,Cabo Verde,2020-07-31,2419,90074
240,Cabo Verde,2021-01-31,11562,1516415
241,Cabo Verde,2021-07-31,19782,4342186
242,Cabo Verde,2022-01-31,21914,7295002
243,Cabo Verde,2022-07-31,6482,10366837
244,Cabo Verde,2023-01-31,225,4237002
245,Cambodia,2020-01-31,1,4
246,Cambodia,2020-07-31,233,17790
247,Cambodia,2021-01-31,231,58379
248,Cambodia,2021-07-31,76120,4111326
249,Cambodia,2022-01-31,44714,20342235
250,Cambodia,2022-07-31,15454,24254634
251,Cambodia,2023-01-31,1153,9352033
252,Cameroon,2020-01-31,0,0
253,Cameroon,2020-07-31,17255,925720
254,Cameroon,2021-01-31,13058,4198512
255,Cameroon,2021-07-31,51751,11527607
256,Cameroon,2022-01-31,35612,18377100
257,Cameroon,2022-07-31,2848,21676764
258,Cameroon,2023-01-31,1128,8264157
259,Canada,2020-01-31,3,12
260,Canada,2020-07-31,115389,9429691
261,Canada,2021-01-31,655401,58285615
262,Canada,2021-07-31,658783,210505538
263,Canada,2022-01-31,1601968,336987974
264,Canada,2022-07-31,1024491,660882690
265,Canada,2023-01-31,195576,283244562
266,Cayman Islands,2020-01-31,0,0
267,Cayman Islands,2020-07-31,203,16327
268,Cayman Islands,2021-01-31,187,47910
269,Cayman Islands,2021-07-31,252,96329
270,Cayman Islands,2022-01-31,13146,816812
271,Cayman Islands,2022-07-31,15321,4144444
272,Cayman Islands,2023-01-31,1700,2049671
