Port Name,Administrative Approach Rank,"Total
Points",Economy Label,Port Name.1,Statistic Approach Rank,IndeX Value,Economy Label.1,Period,Period Label,Year,Frequency,Frequency Label,Economy,CommercialMarket,CommercialMarket Label,Number of port calls,Number of port calls Footnote
GUANGZHOU,9,161.331,China,GUANGZHOU,9,72.749,China,2021S01,S1   2021,2021,S,Semi-annual,156,2,Liquid bulk carriers,22802,
GUANGZHOU,9,161.331,China,GUANGZHOU,9,72.749,China,2021S01,S1   2021,2021,S,Semi-annual,156,3,Container ships,36398,
GUANGZHOU,9,161.331,China,GUANGZHOU,9,72.749,China,2021S01,S1   2021,2021,S,Semi-annual,156,4,Dry breakbulk carriers,15301,
GUANGZHOU,9,161.331,China,GUANGZHOU,9,72.749,China,2021S01,S1   2021,2021,S,Semi-annual,156,5,Dry bulk carriers,32902,
GUANGZHOU,9,161.331,China,GUANGZHOU,9,72.749,China,2021S01,S1   2021,2021,S,Semi-annual,156,6,Roll-on/ roll-off ships,3175,
GUANGZHOU,9,161.331,China,GUANGZHOU,9,72.749,China,2021S01,S1   2021,2021,S,Semi-annual,156,7,Liquefied petroleum gas carriers,4584,
GUANGZHOU,9,161.331,China,GUANGZHOU,9,72.749,China,2021S01,S1   2021,2021,S,Semi-annual,156,8,Liquefied natural gas carriers,665,
SHEKOU,16,137.844,China,TANJUNG PELEPAS,16,59.83,Malasyia,2021S01,S1   2021,2021,S,Semi-annual,156,0,All ships,132442,
SHEKOU,16,137.844,China,TANJUNG PELEPAS,16,59.83,Malasyia,2021S01,S1   2021,2021,S,Semi-annual,156,1,Passenger ships,16615,
SHEKOU,16,137.844,China,TANJUNG PELEPAS,16,59.83,Malasyia,2021S01,S1   2021,2021,S,Semi-annual,156,2,Liquid bulk carriers,22802,
