Port Name,Administrative Approach Rank,"Total
Points",Statistic Approach Rank,IndeX Value,Economy Label,Period,Period Label,Year,Frequency,Frequency Label,Economy,CommercialMarket,CommercialMarket Label,Number of port calls,Number of port calls Footnote
BELL BAY,218,3.146,211,1.682,Australia,2021S01,S1   2021,2021,S,Semi-annual,36,5,Dry bulk carriers,7410,
BELL BAY,218,3.146,211,1.682,Australia,2021S01,S1   2021,2021,S,Semi-annual,36,6,Roll-on/ roll-off ships,1413,
BELL BAY,218,3.146,211,1.682,Australia,2021S01,S1   2021,2021,S,Semi-annual,36,7,Liquefied petroleum gas carriers,213,
BELL BAY,218,3.146,211,1.682,Australia,2021S01,S1   2021,2021,S,Semi-annual,36,8,Liquefied natural gas carriers,554,
BRISBANE,288,-24.619,281,-8.469,Australia,2021S01,S1   2021,2021,S,Semi-annual,36,0,All ships,29514,
BRISBANE,288,-24.619,281,-8.469,Australia,2021S01,S1   2021,2021,S,Semi-annual,36,1,Passenger ships,15600,
BRISBANE,288,-24.619,281,-8.469,Australia,2021S01,S1   2021,2021,S,Semi-annual,36,2,Liquid bulk carriers,1528,
BRISBANE,288,-24.619,281,-8.469,Australia,2021S01,S1   2021,2021,S,Semi-annual,36,3,Container ships,1836,
BRISBANE,288,-24.619,281,-8.469,Australia,2021S01,S1   2021,2021,S,Semi-annual,36,4,Dry breakbulk carriers,960,
BRISBANE,288,-24.619,281,-8.469,Australia,2021S01,S1   2021,2021,S,Semi-annual,36,5,Dry bulk carriers,7410,
BRISBANE,288,-24.619,281,-8.469,Australia,2021S01,S1   2021,2021,S,Semi-annual,36,6,Roll-on/ roll-off ships,1413,
BRISBANE,288,-24.619,281,-8.469,Australia,2021S01,S1   2021,2021,S,Semi-annual,36,7,Liquefied petroleum gas carriers,213,
BRISBANE,288,-24.619,281,-8.469,Australia,2021S01,S1   2021,2021,S,Semi-annual,36,8,Liquefied natural gas carriers,554,
FREMANTLE,335,-90.529,328,-29.997,Australia,2021S01,S1   2021,2021,S,Semi-annual,36,0,All ships,29514,
FREMANTLE,335,-90.529,328,-29.997,Australia,2021S01,S1   2021,2021,S,Semi-annual,36,1,Passenger ships,15600,
FREMANTLE,335,-90.529,328,-29.997,Australia,2021S01,S1   2021,2021,S,Semi-annual,36,2,Liquid bulk carriers,1528,
FREMANTLE,335,-90.529,328,-29.997,Australia,2021S01,S1   2021,2021,S,Semi-annual,36,3,Container ships,1836,
